record,date,DATE2,WEIGHT,QS1,HIDWARD,area,QS2,QS3,HIDAGE1,Q1r1,Q1r2,Q2,Q11_Lr1r1,Q11_Lr1r2,Q11_Lr1r3,Q11_Lr1r4,Q11_Lr1r5,Q11_Lr1r6,Q11_Lr1r7,Q11_Lr1r8,Q11_Lr2r1,Q11_Lr2r2,Q11_Lr2r3,Q11_Lr2r4,Q11_Lr2r5,Q11_Lr2r6,Q11_Lr2r7,Q11_Lr2r8,Q11_Lr3r1,Q11_Lr3r2,Q11_Lr3r3,Q11_Lr3r4,Q11_Lr3r5,Q11_Lr3r6,Q11_Lr3r7,Q11_Lr3r8,Q11_Lr4r1,Q11_Lr4r2,Q11_Lr4r3,Q11_Lr4r4,Q11_Lr4r5,Q11_Lr4r6,Q11_Lr4r7,Q11_Lr4r8,Q11_Lr5r1,Q11_Lr5r2,Q11_Lr5r3,Q11_Lr5r4,Q11_Lr5r5,Q11_Lr5r6,Q11_Lr5r7,Q11_Lr5r8,Q11_Lr6r1,Q11_Lr6r2,Q11_Lr6r3,Q11_Lr6r4,Q11_Lr6r5,Q11_Lr6r6,Q11_Lr6r7,Q11_Lr6r8,Q11_Lr7r1,Q11_Lr7r2,Q11_Lr7r3,Q11_Lr7r4,Q11_Lr7r5,Q11_Lr7r6,Q11_Lr7r7,Q11_Lr7r8,Q11_Lr8r1,Q11_Lr8r2,Q11_Lr8r3,Q11_Lr8r4,Q11_Lr8r5,Q11_Lr8r6,Q11_Lr8r7,Q11_Lr8r8,Q11_Lr9r1,Q11_Lr9r2,Q11_Lr9r3,Q11_Lr9r4,Q11_Lr9r5,Q11_Lr9r6,Q11_Lr9r7,Q11_Lr9r8,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12_R1,Q12r6oe,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13_R1,Q13r10oe,QD1,QD1_R1,D1r5oe,QD2,QD3r1,noanswerD3_r99,QD4r1,noanswerD4_r99,QD5,QD6,vdecLang
2,10 10 2018 17 11,10,0.677169,M1R,Ward 40,Scarborough,Man,1985,33,Not very concerned,Very concerned,Not very informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating,Verymotivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Rent, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some university,Under  40 000,English (USA)
5,10 10 2018 17 17,10,0.869644,M8X,Ward 4,Etobicoke,Man,1948,70,Very concerned,Very concerned,Very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Not very motivating,Not very motivating,Verymotivating,Other,Thinking of grandchildren,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 100 001 to  150 000,English (USA)
7,10 10 2018 17 17,10,0.641285,M3h,Ward 10,York Centre,Man,1959,59,Extremely concerned,Very concerned,Extremely informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,Other, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,Not at all motivating,Not at all motivating,Not at all motivating,Not at all motivating,Not at all motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),Not interested in receiving information, ,,Single-family detached house, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
10,10 10 2018 17 18,10,0.897943,M5V,Ward 20,Spadina-Fort York,Woman,1987,31,Very concerned,Very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Not very motivating,Not very motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 100 001 to  150 000,English (USA)
11,10 10 2018 17 27,10,0.677169,M1V,Ward 44,Scarborough,Man,1975,43,Extremely concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Verymotivating,Not very motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed community college  vocational  trade school,Prefer not to answer,English (USA)
12,10 10 2018 17 30,10,0.704065,m1w,Ward 43,Scarborough,Man,1958,60,Very concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Verymotivating,Verymotivating,Verymotivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree,More than  150 000,English (USA)
13,10 10 2018 17 33,10,0.869644,M9w,Ward 2,Etobicoke,Man,1950,68,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed community college  vocational  trade school, 40 001 to  60 000,English (USA)
14,10 10 2018 17 37,10,0.897943,M5c,Ward 22,Toronto Centre,Woman,1984,34,Very concerned,Very concerned,Very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating, , ,,NO TO  Toronto.ca website,City of Toronto events,Twitter,Facebook,Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,Other (please specify),NO TO  Not interested in receiving information,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Newspaper,Multi-unit residence (apartment  condominium building), ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
15,10 10 2018 17 36,10,0.795624,m4s,Ward 26,Toronto-St. Paul's,Man,1980,38,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,City of Toronto events,Twitter,Facebook,Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,Prefer not to answer,English (USA)
17,10 10 2018 17 44,10,0.806383,m1w,Ward 43,Scarborough,Woman,1972,46,Extremely concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Townhouse row house, ,,Own,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,2,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
